Epoch  G MSE train        G BCE          G train          D BCE         G MSE test   
=====================================================================================
  0     249.290595       0.743371       125.016983      36.999318       27.901964    
  1     23.435305        0.705668       12.070486       40.029779       20.380833    
  2     20.573898        0.929419       10.751658       30.083752       19.163651    
  3     19.928971        1.305045       10.617008       22.651447       18.960390    
  4     19.694999        1.514310       10.604654       19.535147       18.717215    
  5     19.725064        1.664119       10.694591       18.685784       18.769081    
  6     19.980451        1.872139       10.926295       15.243014       18.657530    
  7     20.025863        2.094123       11.059993       12.965493       18.014414    
  8     19.132423        2.258655       10.695539       11.406283       17.341501    
  9     18.880623        2.387248       10.633936       10.524985       15.135322    
 10     16.697509        2.455117        9.576313       10.503619       14.704169    
 11     16.487817        2.486334        9.487076       10.478082       14.282763    
 12     16.708159        2.448189        9.578174       11.426544       13.285069    
 13     16.137669        2.516329        9.326999       10.620183       14.217758    
 14     15.859406        2.524665        9.192035       10.779783       14.594829    
 15     14.227399        2.445581        8.336490       13.058153       12.679662    
 16     14.628589        2.326496        8.477542       12.804341       12.038693    
 17     13.987524        2.278956        8.133240       16.906509       11.906425    
 18     13.084137        2.241221        7.662679       11.781997       11.855560    
 19     12.716134        2.251546        7.483840       12.023809       11.668590    
 20     13.311393        2.342479        7.826936       10.800173       11.111291    
 21     12.296682        2.432695        7.364688        9.740209       11.213115    
 22     12.610021        2.497550        7.553785        9.245731       10.879971    
 23     12.258832        2.523163        7.390997        9.261842       10.876675    
 24     12.672011        2.452902        7.562456       10.312910       10.804464    
 25     12.555136        2.563916        7.559526       12.696741       10.560364    
 26     11.466017        2.563665        7.014841        9.171934       10.842169    
 27     12.275211        2.681085        7.478148        8.201168       10.631004    
 28     11.880009        2.814161        7.347085        7.226634       10.541830    
 29     11.889416        2.906606        7.398011        6.689499       10.437721    
 30     11.636976        2.984693        7.310835        6.332076       10.445642    
 31     11.653151        3.038082        7.345617        6.105955       10.308997    
 32     11.770060        3.072346        7.421203        6.034863       10.246282    
 33     11.480472        3.098403        7.289438        5.996814       10.150863    
 34     11.446286        3.092307        7.269297        6.558391       10.378518    
 35     11.710654        3.105141        7.407898        6.896344       10.182220    
 36     11.368742        3.127961        7.248351        6.946607       10.738807    
 37     12.203659        3.114299        7.658979        8.068555        9.824066    
 38     10.808793        3.149670        6.979232        6.586295       10.535760    
 39     12.599505        3.055929        7.827717       14.861638        9.789510    
 40     10.491642        2.936448        6.714045        7.182238        9.916855    
 41     11.177287        2.994693        7.085990        6.576506        9.842040    
 42     10.997916        2.986559        6.992238        6.860051        9.826097    
 43     11.096461        2.945302        7.020882        8.563331        9.808840    
 44     11.043788        2.969013        7.006401        7.935341        9.807884    
 45     11.070058        3.015290        7.042674        8.063007        9.854374    
 46     11.014641        3.100774        7.057708        7.119572        9.882860    
 47     10.953324        3.163762        7.058543        6.777418        9.903324    
 48     10.884296        3.213612        7.048954        6.705405        9.917462    
 49     10.801340        3.202671        7.002005        7.059736        9.930381    
 50     10.851170        3.156659        7.003915        9.328138        9.974455    
 51     10.843210        3.021035        6.932123       10.261297       10.008745    
 52     10.968380        2.875264        6.921822       10.256981       10.175570    
 53     11.175812        2.760091        6.967951       12.422494       10.275386    
 54     11.396921        2.613959        7.005440       11.186506       10.350567    
 55     11.190803        2.580243        6.885523       14.143437       10.259063    
 56     11.545114        2.517586        7.031350       12.198608       10.325655    
 57     11.097371        2.530529        6.813950       14.528338       10.062969    
 58     11.361102        2.550482        6.955792       11.875667       10.124708    
 59     11.056937        2.543018        6.799978       12.401691       10.073595    
 60     11.305708        2.550071        6.927889       11.761717       10.067739    
 61     11.124842        2.552001        6.838422       11.933080        9.986558    
 62     11.215993        2.584649        6.900321       11.565527        9.934183    
 63     10.927121        2.574666        6.750893       11.850281        9.990313    
 64     11.291501        2.575893        6.933697       12.419029       10.148743    
 65     11.415964        2.584351        7.000157       13.530940       10.175816    
 66     11.514410        2.601072        7.057741       12.297182       10.265903    
 67     11.628105        2.624893        7.126499       12.537429        9.997444    
 68     11.181601        2.646753        6.914177       11.845242        9.938150    
 69     11.314426        2.652144        6.983285       11.840579        9.881604    
 70     11.274990        2.665318        6.970154       12.020077        9.778284    
 71     11.197807        2.617728        6.907767       13.770398        9.788511    
 72     11.138806        2.575500        6.857153       14.283820        9.846457    
 73     11.289137        2.539817        6.914477       14.742269        9.933743    
 74     11.347589        2.515818        6.931703       15.000111        9.940689    
 75     11.376942        2.508486        6.942714       14.082388        9.882126    
 76     11.192153        2.514669        6.853411       13.851653        9.897326    
 77     11.341689        2.531185        6.936437       12.860738        9.733091    
 78     10.999443        2.566323        6.782883       11.918115        9.755018    
 79     11.258414        2.603523        6.930968       11.247880        9.607278    
