Epoch  G MSE train        G BCE          G train          D BCE         G MSE test   
=====================================================================================
  0     272.415330       0.615512       272.415330      42.191603       43.119118    
  1     32.291957        0.704722       32.291957       40.946986       24.433912    
  2     23.886555        0.687506       23.886555       37.090317       21.310123    
  3     21.543321        0.832161       21.543321       29.933826       19.843801    
  4     20.621171        1.112637       20.621171       22.210495       19.336864    
  5     20.520267        1.439089       20.520267       16.858305       19.216839    
  6     20.708387        1.779468       20.708387       12.431169       19.202717    
  7     20.783947        2.053659       20.783947       10.671012       19.147837    
  8     20.763651        2.319980       20.763651        8.380421       19.059738    
  9     20.714404        2.612658       20.714404        7.118826       18.962164    
 10     20.641897        2.852564       20.641897        6.182144       18.855314    
 11     20.555789        3.077139       20.555789        5.445451       18.740723    
 12     20.457548        3.284199       20.457548        4.835218       18.617516    
 13     20.349831        3.500316       20.349831        4.313193       18.485250    
 14     20.229871        3.706564       20.229871        3.899292       18.341049    
 15     20.098258        3.897039       20.098258        3.538396       18.182693    
 16     19.953248        4.077876       19.953248        3.253404       18.006010    
 17     19.789063        4.232123       19.789063        3.046975       17.802820    
 18     20.300988        4.378028       20.300988        2.809214       17.888693    
 19     18.873411        4.532375       18.873411        2.631647       17.105318    
 20     21.130885        4.660380       21.130885        2.499012       17.787210    
 21     17.832313        4.760456       17.832313        2.398306       16.330753    
 22     18.111696        4.897911       18.111696        2.290642       15.983092    
 23     18.076381        5.012431       18.076381        2.186268       15.725773    
 24     17.829562        5.108479       17.829562        2.124544       15.370107    
 25     17.435153        5.176538       17.435153        2.066012       14.985904    
 26     16.872104        5.224329       16.872104        2.035595       14.417321    
 27     16.441236        5.308632       16.441236        1.983051       14.002720    
 28     15.891457        5.360275       15.891457        1.959997       13.507586    
 29     15.885953        5.392362       15.885953        1.947920       13.137403    
 30     14.550617        5.440042       14.550617        1.920350       12.465150    
 31     14.768632        5.469657       14.768632        1.855667       12.444347    
 32     14.141783        5.517123       14.141783        1.846606       12.003162    
 33     13.965387        5.514476       13.965387        1.833842       11.804370    
 34     13.593735        5.496161       13.593735        1.925025       11.551319    
 35     13.372963        5.474719       13.372963        1.917059       11.377326    
 36     13.148406        5.501289       13.148406        1.920872       11.214390    
 37     12.975312        5.523396       12.975312        1.890347       11.079938    
 38     12.804784        5.540374       12.804784        1.872212       10.954383    
 39     12.653062        5.554043       12.653062        1.899783       10.840158    
 40     12.522191        5.484347       12.522191        2.013704       10.737556    
 41     12.394591        5.383127       12.394591        2.159416       10.644617    
 42     12.277675        5.462022       12.277675        1.997032       10.556017    
 43     12.170778        5.373952       12.170778        2.207789       10.473963    
 44     12.075722        5.371974       12.075722        2.269768       10.399656    
 45     11.987693        5.487162       11.987693        2.048966       10.330734    
 46     11.989385        5.422523       11.989385        2.031498       10.280680    
 47     11.774339        5.483646       11.774339        1.904263       10.190158    
 48     11.748769        4.154164       11.748769       12.633238       10.143608    
 49     11.682385        4.340924       11.682385        2.502851       10.087939    
 50     11.618258        4.615474       11.618258        2.180524       10.034405    
 51     11.551967        4.810152       11.551967        1.978730        9.980371    
 52     11.491081        4.959257       11.491081        1.840760        9.930103    
 53     11.431781        5.080942       11.431781        1.744206        9.881383    
 54     11.373600        5.190749       11.373600        1.668406        9.833327    
 55     11.317779        5.290904       11.317779        1.601098        9.787820    
 56     11.262206        5.389216       11.262206        1.533860        9.743359    
 57     11.270307        5.530452       11.270307        1.410775        9.664989    
 58     11.088606        5.543301       11.088606        1.386923        9.576220    
 59     11.003748        5.577143       11.003748        1.354138        9.520267    
 60     10.934477        5.634999       10.934477        1.300770        9.472191    
 61     10.882416        5.695615       10.882416        1.228399        9.396122    
 62     12.949654        4.354356       12.949654       91.958631        9.323925    
 63     11.264862        2.269873       11.264862       10.419812        9.395107    
 64     10.181486        2.527349       10.181486        8.108030        9.220327    
 65     10.324222        2.716328       10.324222        6.738787        9.209193    
 66     10.437824        2.920139       10.437824        5.752721        9.213964    
 67     10.431387        3.167565       10.431387        4.650502        9.158055    
 68     10.416823        3.335159       10.416823        4.042000        9.091722    
 69     10.409940        3.519961       10.409940        3.494440        9.058222    
 70     10.380863        3.715371       10.380863        3.005039        9.024100    
 71     10.344887        3.889746       10.344887        2.643435        8.987658    
 72     10.298966        4.041651       10.298966        2.408874        8.902687    
 73     10.201206        4.173240       10.201206        2.260663        8.834517    
 74     10.080721        4.329653       10.080721        2.051531        8.694408    
 75     10.007462        4.404255       10.007462        1.933771        8.631103    
 76      9.984562        4.495314        9.984562        1.829124        8.584631    
 77     10.005276        4.516637       10.005276        1.864889        8.538640    
 78      9.987276        4.364595        9.987276        2.385357        8.466542    
 79      9.722948        4.172147        9.722948        2.853327        8.367951    
 80      9.768431        4.338833        9.768431        2.466668        8.339768    
 81      9.812205        4.447187        9.812205        2.230183        8.337679    
 82      9.709621        4.527550        9.709621        2.014209        8.264703    
 83      9.699246        4.609560        9.699246        1.861909        8.236473    
 84      9.631164        4.699704        9.631164        1.720219        8.178512    
 85      9.573512        4.723549        9.573512        1.648772        8.129045    
 86      9.526138        4.786289        9.526138        1.555425        8.085582    
 87      9.472400        4.868551        9.472400        1.451954        8.060175    
 88      9.417630        4.940592        9.417630        1.399261        7.996708    
 89      9.707031        5.104685        9.707031        1.214531        8.060654    
 90      9.173304        5.218617        9.173304        1.167617        7.906742    
 91      9.211811        5.299324        9.211811        1.080669        7.883432    
 92      9.193988        5.355418        9.193988        1.047477        7.832563    
 93      9.213117        5.558879        9.213117        0.914580        7.907358    
 94      9.103346        5.522012        9.103346        0.932728        7.772043    
 95      9.134617        5.598924        9.134617        0.893107        7.752440    
 96      9.115373        5.714579        9.115373        0.815950        7.744892    
 97      9.032698        5.716468        9.032698        0.837653        7.669734    
 98      9.055209        5.891786        9.055209        0.724351        7.686571    
 99      8.961928        5.883286        8.961928        0.757315        7.609793    
