Epoch  G MSE train        G BCE          G train          D BCE         G MSE test   
=====================================================================================
  0     255.745456       0.604526       26.118619       40.403550       45.064651    
  1     27.498663        0.667529        3.350642       41.438851       21.552872    
  2     20.569472        0.598380        2.595489       36.605471       21.360132    
  3     20.471548        0.675594        2.655189       30.607479       21.324478    
  4     20.399607        0.836409        2.792729       23.846241       21.334236    
  5     21.704315        0.994357        3.065353       19.029211       21.354332    
  6     21.143260        1.163531        3.161504       15.893790       21.726831    
  7     22.055212        1.323663        3.396817       13.920019       21.666113    
  8     21.406326        1.471351        3.464849       12.112676       21.932779    
  9     24.356497        1.566530        3.845527       14.153834       25.044088    
 10     35.235382        1.525287        4.896296       13.646081       23.410187    
 11     22.600609        1.629181        3.726324       11.429551       24.378061    
 12     23.890183        1.622890        3.849619       12.992799       26.114573    
 13     26.134140        1.459734        3.927175       26.205306       27.483540    
 14     27.082210        1.246396        3.829977       27.429231       26.263968    
 15     24.433237        1.244925        3.563756       24.273910       24.446716    
 16     22.278829        1.203083        3.310658       24.586529       22.136749    
 17     21.166884        1.183366        3.181718       26.435034       21.688562    
 18     19.811482        1.321317        3.170333       22.015625       19.822956    
 19     19.357106        1.490408        3.277078       21.048922       20.366064    
 20     20.087431        1.577860        3.428817       18.323138       19.728092    
 21     22.860269        1.939198        4.031306       13.620379       21.376503    
 22     23.728580        2.086438        4.250652       12.926542       22.504602    
 23     28.600385        2.003593        4.663272       18.716488       33.471691    
 24     35.714719        1.872250        5.256497       18.820097       30.124744    
 25     29.951409        1.845501        4.656092       21.399501       28.615561    
 26     28.196089        2.036394        4.652364       19.243211       28.136734    
 27     25.634109        1.909617        4.282067       20.889945       25.082565    
 28     24.897848        2.088757        4.369666       15.944058       27.353197    
 29     29.389045        1.897592        4.646737       30.862976       30.040731    
 30     24.810818        1.877244        4.170602       15.940407       24.288670    
 31     23.611535        2.331910        4.459872       10.913687       25.369074    
 32     27.324529        2.502398        4.984611       18.097634       30.148277    
 33     30.793580        2.200022        5.059378       23.417185       27.335629    
 34     24.939125        1.678546        4.004604       29.259792       23.893660    
 35     22.271936        1.466542        3.547081       30.635831       21.932093    
 36     21.271437        1.399729        3.386900       30.475335       22.108440    
 37     21.480054        1.341852        3.355672       31.300174       22.192568    
 38     21.932238        1.308586        3.370951       32.516417       21.725529    
 39     22.636184        1.344909        3.474036       30.792501       36.254822    
 40     22.888130        1.336546        3.491704       29.289505       20.175726    
 41     25.483961        2.202829        4.530942       27.719148       21.912327    
 42     22.507452        1.466915        3.570969       29.799384       24.465019    
 43     30.113117        1.466553        4.331210       29.418437       49.082756    
 44     53.492453        1.358195        6.571621       28.427669       22.261414    
 45     20.822255        1.620880        3.541017       26.863667       21.143436    
 46     20.662113        1.546753        3.458289       30.566204       20.096500    
 47     20.761004        1.506830        3.432247       28.278619       22.884432    
 48     20.076045        1.570908        3.421421       27.311558       20.705544    
 49     17.891778        1.392911        3.042798       30.635897       18.094395    
 50     17.403906        1.329097        2.936578       29.462442       18.376644    
 51     17.686328        1.317812        2.954663       30.673797       18.460396    
 52     17.832351        1.300883        2.954030       31.902764       19.044605    
 53     18.150879        1.300000        2.985088       32.207788       19.101484    
 54     17.940509        1.318853        2.981019       31.225098       18.503115    
 55     17.621073        1.354010        2.980716       28.616982       18.264853    
 56     17.502849        1.328932        2.946324       28.554883       18.540831    
 57     17.765933        1.331150        2.974628       29.156184       18.133759    
 58     17.784059        1.315404        2.962269       29.371997       18.299847    
 59     17.937840        1.321154        2.982822       29.285021       18.531048    
 60     18.108808        1.336446        3.013682       28.175250       18.881922    
 61     18.216228        1.343492        3.030766       29.393483       18.749954    
 62     17.952614        1.324027        2.986885       30.134183       19.092033    
 63     19.106110        1.335566        3.112620       28.259377       19.426874    
 64     18.654310        1.340087        3.071509       27.885434       19.622398    
 65     19.088969        1.342074        3.116763       29.324968       18.812181    
 66     19.111439        1.417815        3.187178       28.656229       18.941374    
 67     18.126211        1.340360        3.018946       29.544131       19.239250    
 68     18.799958        1.395117        3.135601       27.085978       18.897028    
 69     18.622225        1.358214        3.084615       28.142667       18.691265    
 70     18.744393        1.441533        3.171819       27.614893       18.997444    
 71     18.566198        1.380823        3.099361       27.921731       18.385054    
 72     18.980731        1.428842        3.184031       25.773116       19.593058    
 73     19.280550        1.466289        3.247715       31.243421       18.413679    
 74     18.147513        1.383618        3.060007       29.182529       18.290136    
 75     18.192317        1.453152        3.127069       26.084947       18.302961    
 76     18.531677        1.470893        3.176972       27.203623       18.080605    
 77     18.128625        1.437586        3.106690       28.109143       18.966173    
 78     18.635466        1.525924        3.236878       25.028873       18.838850    
 79     18.947836        1.564989        3.303273       27.406870       18.193342    
 80     18.109539        1.492095        3.153839       26.581588       18.788322    
 81     18.143574        1.557092        3.215740       30.191951       18.384480    
 82     17.783437        1.526349        3.152058       28.188228       18.766125    
 83     17.884159        1.510487        3.147854       25.878215       18.099985    
 84     18.195226        1.557385        3.221169       25.670153       18.823545    
 85     18.190520        1.630901        3.286863       24.686111       18.632162    
 86     17.899941        1.581441        3.213291       24.946054       18.641106    
 87     19.258762        1.586678        3.353887       25.288236       18.713017    
 88     18.948341        1.619344        3.352244       24.373527       18.165722    
 89     17.877107        1.608387        3.235259       22.915771       18.261469    
 90     18.561057        1.682734        3.370567       23.036521       18.162586    
 91     18.601160        1.729274        3.416463       23.637376       18.296610    
 92     18.873967        1.666333        3.387097       26.884493       18.843519    
 93     19.848228        1.646441        3.466620       27.202417       18.988644    
 94     18.890057        1.645933        3.370346       22.987747       19.017012    
 95     19.462831        1.733462        3.506399       22.706369       18.990915    
 96     19.991612        1.728479        3.554793       22.393131       19.941811    
 97     21.632337        1.837139        3.816658       22.405630       18.511997    
 98     18.003512        1.793809        3.414779       21.090630       18.570421    
 99     18.311111        1.806667        3.457111       19.885690       19.408489    
