Epoch  G MSE train        G BCE          G train          D BCE         G MSE test   
=====================================================================================
  0     225.082310       0.655693       112.869002      40.318740       56.085186    
  1     34.644110        0.770825       17.707467       40.749982       26.820745    
  2     25.045738        0.731773       12.888755       37.516096       21.503525    
  3     21.889555        0.864607       11.377081       29.212868       20.504997    
  4     21.851510        0.971821       11.411665       24.314346       23.357250    
  5     21.632252        1.153673       11.392962       20.512297       30.629950    
  6     21.709957        1.405476       11.557717       16.205425       19.700926    
  7     24.535102        1.626289       13.080696       13.447502       21.256588    
  8     20.748031        1.802077       11.275054       11.263926       19.629124    
  9     20.851065        1.998191       11.424628       10.235587       19.808857    
 10     22.408131        2.109193       12.258662        8.995807       19.844635    
 11     20.683988        2.309089       11.496539        7.822977       19.487173    
 12     23.211451        2.482762       12.847107        6.550915       19.729088    
 13     28.752487        2.677727       15.715107        5.835675       20.092403    
 14     20.450540        2.813254       11.631897        5.336168       19.271917    
 15     19.937248        2.921751       11.429500        5.173999       19.179514    
 16     19.992474        3.057355       11.524915        4.663358       19.067860    
 17     20.110035        3.222086       11.666060        4.002872       19.020626    
 18     20.149651        3.380308       11.764980        3.542053       18.995903    
 19     20.988694        3.570127       12.279411        3.583549       19.059895    
 20     20.390559        3.676570       12.033564        3.206305       18.892836    
 21     20.575580        3.672482       12.124031        3.172233       18.799805    
 22     20.208239        3.650884       11.929562        3.279247       18.460796    
 23     20.819405        3.741485       12.280445        3.133710       17.356276    
 24     18.156511        3.783287       10.969899        2.935401       17.694965    
 25     18.485615        3.764452       11.125034        3.148500       23.523792    
 26     18.743120        3.597225       11.170173        3.610821       27.820564    
 27     18.211091        3.636439       10.923765        3.396739       16.974295    
 28     38.342339        3.554005       20.948172        3.730909       63.524681    
 29     30.055905        3.766171       16.911038        3.106336       15.591796    
 30     16.011308        3.682774        9.847041        3.399028       15.618594    
 31     15.899495        3.526560        9.713028        3.547490       15.712212    
 32     15.986035        3.605542        9.795788        3.444012       15.390166    
 33     15.749793        3.692720        9.721257        3.197624       15.220675    
 34     15.950468        3.694758        9.822613        3.294961       15.102213    
 35     15.919161        3.612055        9.765608        3.247542       15.274358    
 36     15.750946        3.562349        9.656647        3.593430       16.252516    
 37     15.828725        3.808935        9.818830        3.242866       15.184995    
 38     15.734576        3.715215        9.724895        4.260609       15.680511    
 39     16.085039        3.474762        9.779900        3.761758       15.520739    
 40     15.895765        3.335283        9.615524        4.003620       15.084053    
 41     16.028177        3.727357        9.877767       20.546385       15.441608    
 42     16.484470        3.013488        9.748979        6.783711       15.560225    
 43     16.955229        2.776126        9.865677        7.820413       15.712091    
 44     17.579929        2.704391       10.142160        8.658537       15.947031    
 45     18.194758        2.753646       10.474202        8.345485       16.189631    
 46     18.724975        2.854757       10.789866        6.983708       15.970879    
 47     17.346006        3.247283       10.296644        5.990657       16.460409    
 48     27.308733        3.303089       15.305911        5.802488       34.162289    
 49     24.728616        3.512057       14.120337        3.822583       16.345039    
 50     17.416038        3.991507       10.703773        3.472483       17.602255    
 51     16.618192        3.875568       10.246880        3.123821       15.447112    
 52     16.672738        4.183546       10.428142        2.495322       16.059986    
 53     17.082844        4.089214       10.586029        3.086892       17.449026    
 54     17.053174        4.150108       10.601641        2.878801       15.628111    
 55     17.538360        4.097603       10.817981        2.886117       16.573336    
 56     16.416380        4.079606       10.247993        3.054710       15.574659    
 57     16.685909        4.035759       10.360834        3.072775       15.640138    
 58     18.070171        4.160941       11.115556        3.065419       17.042549    
 59     16.451380        4.030612       10.240996        2.808514       15.423559    
 60     18.410233        4.198977       11.304605        2.989030       17.404314    
