Epoch  G MSE train        G BCE          G train          D BCE         G MSE test   
=====================================================================================
  0     246.478452       0.622183       25.207810       42.053727       45.140362    
  1     32.305987        0.655027        3.820123       38.126546       25.893213    
  2     24.916632        0.665899        3.090973       31.288723       22.889227    
  3     22.190882        0.808626        2.946852       25.666001       20.609837    
  4     20.944457        1.006335        3.000147       21.812832       19.955210    
  5     21.037748        1.181216        3.166869       19.657446       20.533346    
  6     21.471646        1.179958        3.209127       20.618333       19.978441    
  7     21.944396        1.275092        3.342023       17.631211       21.732512    
  8     25.095225        1.187787        3.578530       23.374751       24.338280    
  9     25.325721        1.216858        3.627744       19.109191       21.829321    
 10     23.527205        1.415609        3.626769       14.621871       21.068281    
 11     23.208279        1.584601        3.746969       12.908282       20.887890    
 12     23.077929        1.632230        3.776800       13.820817       22.438200    
 13     24.069296        1.563938        3.814473       16.520140       23.162630    
 14     25.549075        1.560183        3.959072       15.424006       24.042440    
 15     27.534560        1.711113        4.293457       13.231216       25.413183    
 16     30.338658        1.791273        4.646012       12.843265       23.231178    
 17     24.173389        1.928386        4.152886       10.705735       22.085051    
 18     23.576785        2.063739        4.215044       10.916009       22.921360    
 19     23.197838        2.304303        4.393657       13.360549       20.320148    
 20     27.886976        1.915322        4.512488       46.459561       22.927307    
 21     21.769456        1.484472        3.512970       22.628347       18.241390    
 22     19.025470        1.587210        3.331036       20.703004       17.880299    
 23     20.697430        1.359223        3.293043       31.565575       19.619152    
 24     21.039503        1.365688        3.333069       26.590610       20.591747    
 25     20.697612        1.711433        3.610051       28.295679       19.197613    
 26     20.502405        1.852267        3.717281       19.142961       17.481493    
 27     19.575704        2.048400        3.801130       12.311456       19.231735    
 28     18.020137        2.179213        3.763305       11.240354       16.456135    
 29     17.471410        2.190225        3.718344       10.773683       16.010942    
 30     16.868894        2.178423        3.647470       11.444707       16.349150    
 31     16.789026        2.211167        3.668953       11.844382       15.862158    
 32     16.786277        2.044258        3.518460       13.963434       16.943722    
 33     18.976083        2.066398        3.757367       18.274298       21.172764    
 34     24.270260        2.212412        4.418197       19.448133       22.445946    
 35     24.093791        2.347024        4.521701       13.621462       22.112049    
 36     21.934987        2.450017        4.398514       10.882888       18.989777    
 37     20.940053        2.430949        4.281860       20.913715       19.710524    
 38     19.385402        2.293699        4.002869       18.496249       18.305225    
 39     19.058074        2.329064        4.001965       15.217607       18.839607    
 40     19.522073        2.046176        3.793766       13.784306       18.438885    
 41     19.138016        2.662318        4.309888       18.199298       24.101860    
 42     20.645097        1.856108        3.735007       20.723670       17.674194    
 43     21.517296        2.747851        4.624796       23.117107       37.424084    
 44     22.144891        1.811303        3.844662       25.498122       18.978954    
 45     20.580021        2.356228        4.178607       14.832994       21.331631    
 46     20.541082        2.591399        4.386367       18.269485       19.167604    
 47     19.735035        2.179787        3.935312       17.995381       19.037987    
 48     20.577401        2.395083        4.213315       16.205176       20.005196    
 49     20.410098        2.431303        4.229182       13.784316       18.116787    
 50     22.402957        2.933765        4.880685       20.632474       18.827055    
 51     20.010727        2.301530        4.072449       15.999124       18.683874    
 52     19.945065        2.839925        4.550439        9.977620       18.429739    
 53     20.859395        2.947940        4.739085        9.921511       21.239777    
 54     20.347357        3.138714        4.859579        8.543212       22.042961    
 55     20.872797        2.662305        4.483354       34.389639       20.465832    
 56     20.931291        2.495656        4.339219       15.103625       21.055193    
 57     20.815993        2.618654        4.438388       13.680146       19.444654    
 58     20.746927        2.894677        4.679902       13.258170       19.209784    
 59     20.693438        2.849930        4.634281       12.355789       20.016911    
 60     20.982908        2.779042        4.599429       11.288198       19.656279    
 61     20.367609        2.868959        4.618824       10.463052       19.757931    
 62     20.447756        3.097843        4.832835        9.960804       19.889126    
 63     19.893581        3.063082        4.746132        9.133764       19.526207    
 64     19.758896        3.065571        4.734904        8.841855       18.476105    
 65     19.772508        3.406307        5.042927       11.065461       18.879740    
 66     19.739205        3.380780        5.016622        8.434645       20.143887    
 67     19.224316        3.557340        5.124038        6.884587       17.190605    
 68     18.276599        3.250958        4.753522        7.386202       17.019951    
 69     18.009984        3.207270        4.687541        7.678513       16.998024    
 70     18.359943        3.482673        4.970400        7.934633       16.927216    
 71     19.192134        3.179766        4.781003       25.466455       18.471743    
 72     20.842333        2.394670        4.239437       28.832728       19.960958    
 73     22.952435        2.722350        4.745358       22.558781       22.435575    
