Epoch  G MSE train        G BCE          G train          D BCE         G MSE test   
=====================================================================================
  0     306.927800       0.612314       153.770057      41.070437       164.195755   
  1     125.558648       1.375959       63.467304       28.664275       84.071312    
  2     71.946380        2.176189       37.061284       21.578208       61.536747    
  3     60.567408        1.932082       31.249745       22.706483       59.470352    
  4     54.817136        1.968706       28.392921       19.085419       51.958118    
  5     56.774080        2.325932       29.550006       12.921874       53.128757    
  6     51.813736        2.961358       27.387547        6.483311       49.803757    
  7     53.995151        3.801971       28.898561        3.208728       50.540092    
  8     50.216241        4.289851       27.253046        1.935169       48.326015    
  9     50.863589        4.823095       27.843342        1.353943       48.181576    
 10     48.956609        5.015806       26.986207        1.047331       46.729633    
 11     48.490697        5.234984       26.862841        0.941386       45.939915    
 12     47.031606        5.226186       26.128896        0.856203       44.959599    
 13     46.509037        5.296362       25.902700        0.809526       44.518234    
 14     46.200845        5.342431       25.771638        0.782185       44.253239    
 15     46.018562        5.352752       25.685657        0.775162       44.093498    
 16     45.823070        5.298227       25.560648        0.773342       43.997086    
 17     45.913454        5.222049       25.567751        0.807833       43.974075    
 18     45.977124        5.109083       25.543103        0.915770       43.967846    
 19     46.370770        4.946188       25.658479        1.153193       43.907459    
 20     47.019040        4.724631       25.871835        1.424096       44.312729    
 21     46.497369        4.428206       25.462788        1.485439       44.965130    
 22     46.254164        4.257864       25.256014        1.627410       45.001022    
 23     46.449753        4.222318       25.336035        1.825338       44.571667    
 24     45.891629        4.215812       25.053720        2.106183       44.195702    
 25     45.691372        4.236531       24.963952        2.247604       44.128143    
 26     45.553459        4.330821       24.942140        2.366733       44.189629    
 27     45.046884        4.417461       24.732172        2.443968       44.156281    
 28     45.171066        4.570591       24.870828        2.501335       44.187675    
 29     45.058132        4.696029       24.877080        2.561798       44.199638    
 30     45.009862        4.815138       24.912500        2.598169       44.230328    
 31     44.907135        4.931806       24.919470        2.626238       44.209057    
 32     44.892061        5.049772       24.970916        2.625261       44.260017    
 33     44.916222        5.156828       25.036525        2.575132       44.351307    
 34     44.867534        5.235904       25.051719        2.510183       44.370441    
 35     44.848906        5.348583       25.098744        2.447789       44.396069    
 36     44.935711        5.479251       25.207481        2.380289       44.520054    
 37     44.916899        5.575704       25.246302        2.311751       44.525333    
 38     44.970479        5.678866       25.324673        2.249711       44.613228    
 39     45.433852        5.860165       25.647008        2.223389       44.949379    
 40     45.027396        5.930413       25.478904        2.004616       44.770599    
 41     45.106103        6.079726       25.592914        1.750299       44.825481    
 42     45.165649        6.741533       25.953591        1.183770       44.759647    
 43     45.108373        7.160819       26.134596        0.933162       44.697186    
 44     45.445627        7.517293       26.481460        0.811266       44.987495    
 45     44.927350        7.683237       26.305293        0.673871       44.618160    
 46     45.163305        7.964225       26.563765        0.632025       44.845314    
 47     44.764607        8.082474       26.423540        0.543054       44.568653    
 48     44.881935        8.285580       26.583757        0.503681       44.729565    
 49     44.734429        8.436842       26.585635        0.459075       44.604877    
 50     44.747698        8.593339       26.670518        0.421690       44.615944    
 51     44.771923        8.766561       26.769242        0.389356       44.714581    
 52     44.716836        8.902240       26.809538        0.350521       44.713356    
 53     44.746536        9.031641       26.889088        0.330471       44.772415    
 54     44.759456        9.180709       26.970083        0.307508       44.749794    
 55     44.758266        9.327928       27.043097        0.291514       44.792961    
 56     44.638972        9.406704       27.022838        0.270413       44.704708    
 57     44.698338        9.523785       27.111062        0.264039       44.746437    
 58     44.517952        9.594361       27.056157        0.244962       44.644711    
 59     44.708024        9.716130       27.212077        0.247796       44.710342    
 60     44.607955        9.770200       27.189077        0.234779       44.647839    
 61     44.691374        9.875883       27.283629        0.229166       44.785007    
 62     44.641931        9.925196       27.283564        0.224201       44.734756    
 63     44.610645        9.985133       27.297889        0.219124       44.795780    
 64     44.618897       10.062923       27.340910        0.205191       44.812180    
 65     44.759001       10.880408       27.819705       20.590191       41.677612    
 66     44.027079        7.808117       25.917598       45.078102       43.443241    
 67     43.957155        7.007500       25.482327        0.817864       43.559921    
 68     44.329636        7.455242       25.892439        0.549626       43.829220    
 69     44.010580        7.633666       25.822123        0.443102       43.493759    
 70     44.254537        7.842406       26.048472        0.391552       43.777363    
 71     44.002763        7.954096       25.978430        0.342481       43.505081    
 72     44.242891        8.127210       26.185050        0.315329       43.811165    
 73     44.080098        8.228607       26.154353        0.287205       43.599472    
 74     44.241661        8.370085       26.305873        0.271310       43.784771    
 75     44.032021        8.451367       26.241694        0.248298       43.587215    
 76     44.248337        8.572466       26.410402        0.239705       43.821526    
 77     44.182813        8.646577       26.414695        0.227411       43.744431    
 78     44.236901        8.724875       26.480888        0.219641       43.820133    
 79     44.220016        8.791802       26.505909        0.211157       43.832661    
 80     44.242478        8.835748       26.539113        0.206338       43.869350    
 81     44.139608        8.860970       26.500289        0.199257       43.760998    
 82     44.211780        8.909382       26.560581        0.196807       43.886513    
 83     44.160342        8.944522       26.552432        0.191980       43.802105    
 84     44.221805        8.982029       26.601917        0.190340       43.851223    
 85     44.300537        9.020819       26.660678        0.188634       43.963135    
 86     44.164962        9.049591       26.607276        0.181692       43.817711    
 87     44.447500        9.108662       26.778081        0.187269       44.173599    
 88     44.121882        9.107710       26.614796        0.175841       43.709667    
 89     44.347748        9.192923       26.770336        0.176988       44.069431    
 90     44.174195        9.190608       26.682401        0.171422       43.798477    
 91     44.430791        9.258592       26.844692        0.175186       44.138638    
 92     44.207420        9.257173       26.732297        0.168358       43.792446    
 93     44.525431        9.337506       26.931469        0.173213       44.290340    
 94     44.281621        9.341989       26.811805        0.166520       43.915653    
 95     44.500736        9.384803       26.942770        0.172095       44.277683    
 96     44.282911        9.388518       26.835714        0.166757       43.947758    
 97     44.555182        9.455733       27.005458        0.172080       44.369087    
 98     44.393393        9.446427       26.919910        0.169525       44.113434    
 99     44.828060        9.563941       27.196001        0.180598       44.725735    
