Epoch  G MSE train        G BCE          G train          D BCE         G MSE test   
=====================================================================================
  0     247.339441       0.757871       25.416028       36.135826       38.797520    
  1     24.402897        0.804774        3.164587       37.500360       21.697071    
  2     20.615320        0.914035        2.884163       29.725675       21.290176    
  3     20.817825        1.227913        3.186904       22.393683       22.928873    
  4     23.278675        1.438282        3.622322       20.313095       22.783691    
  5     24.719558        1.469662        3.794652       21.855300       26.041880    
  6     24.264162        1.380064        3.668474       21.024007       25.308275    
  7     24.488523        1.488026        3.788075       19.648030       25.091862    
  8     26.516852        1.615380        4.105527       21.767922       23.012831    
  9     23.350750        1.589629        3.765741       20.587517       25.697094    
 10     33.331111        2.198972        5.312186       52.290858       22.768553    
 11     22.865036        1.501279        3.637655       15.305371       23.186546    
 12     22.650208        1.708242        3.802438       13.604171       26.406498    
 13     23.962786        1.561895        3.801984       18.083401       25.437628    
 14     22.324271        1.539642        3.618105       19.927359       21.897327    
 15     22.072894        1.380350        3.449604       23.300951       17.708782    
 16     17.522116        1.210529        2.841688       29.723255       16.012711    
 17     16.420205        1.249602        2.766662       29.914729       18.072224    
 18     16.155856        1.148918        2.649612       30.063332       13.979071    
 19     15.393335        1.244142        2.659061       30.741178       14.123730    
 20     14.232502        1.184037        2.488884       26.927010       14.983613    
 21     14.814319        1.233727        2.591786       27.926080       15.307794    
 22     15.345593        1.208998        2.622658       30.524361       15.833137    
 23     14.760680        1.206652        2.562055       27.978023       15.080958    
 24     14.709286        1.343715        2.680272       25.920763       15.270746    
 25     14.840166        1.424529        2.766092       24.086228       14.414698    
 26     15.121277        1.497364        2.859755       23.690558       14.341240    
 27     14.652118        1.465685        2.784329       24.034016       15.029236    
 28     15.976988        1.477055        2.927048       24.842783       16.170116    
 29     16.044293        1.400239        2.864644       27.030899       15.371471    
 30     15.695391        1.411743        2.840107       25.387136       15.991566    
 31     18.341438        1.430343        3.121452       24.828043       18.646227    
 32     18.590272        1.556487        3.259866       28.939212       17.276384    
 33     16.823229        1.512506        3.043578       24.379089       16.169569    
 34     14.796630        1.603401        2.922724       20.465585       14.436694    
 35     13.677559        1.648940        2.851801       22.524129       14.030111    
 36     15.888726        1.730205        3.146057       33.938928       16.426661    
 37     15.431744        1.525096        2.915761       26.110485       14.558916    
 38     13.677351        1.511491        2.728077       24.223660       15.024810    
 39     15.742041        1.553555        2.972404       29.220163       14.263964    
 40     13.440706        1.341637        2.551543       26.500394       14.471095    
 41     17.281510        1.475172        3.055806       32.117487       16.558647    
 42     14.188774        1.241681        2.536391       27.861325       13.689461    
 43     13.671763        1.500920        2.718004       24.652029       13.902252    
 44     14.469185        1.685463        2.963836       24.356983       14.002350    
 45     14.734739        1.711104        3.013468       21.323019       14.249590    
 46     13.842374        1.714974        2.927714       21.351597       14.146060    
 47     14.690674        1.668973        2.971143       26.129121       14.708861    
 48     15.784314        1.574391        2.995384       32.976366       14.869145    
 49     15.896237        1.452859        2.897197       25.964356       14.727806    
 50     14.384487        1.482594        2.772783       24.358855       14.213151    
 51     15.235010        1.810463        3.152918       29.563447       14.045285    
 52     14.405408        1.362695        2.666966       30.312499       13.912611    
 53     13.281244        1.505608        2.683172       22.377700       13.333851    
 54     14.390245        1.615618        2.893081       24.567793       13.200326    
 55     14.130021        1.832189        3.061972       24.228171       14.138666    
 56     14.503287        1.578284        2.870784       22.539109       14.065916    
 57     15.251810        1.735938        3.087525       25.859553       13.306530    
 58     20.878109        1.796923        3.705042       31.933298       27.400221    
 59     16.856989        1.501852        3.037366       22.791796       14.009276    
 60     12.655067        1.749789        2.840317       21.828630       12.590562    
