Epoch  G MSE train        G BCE          G train          D BCE         G MSE test   
=====================================================================================
  0     373.256036       0.760127       187.008081      39.814629       50.415436    
  1     26.397245        0.656627       13.526936       43.225003       21.936052    
  2     21.046244        0.756310       10.901277       40.105961       20.782047    
  3     20.223656        0.780663       10.502159       38.922664       20.362238    
  4     19.930628        0.746987       10.338808       37.797617       20.006758    
  5     19.740793        0.760481       10.250637       32.999538       19.813431    
  6     19.669189        0.926931       10.298060       25.419321       19.721863    
  7     19.737558        1.161744       10.449651       20.064052       19.632040    
  8     19.972578        1.371326       10.671952       16.437775       19.536484    
  9     20.351928        1.553221       10.952574       13.952028       19.460787    
 10     20.187062        1.726194       10.956628       12.099225       19.327774    
 11     20.088422        1.891856       10.990139       10.595962       19.187475    
 12     19.992376        2.051636       11.022006        9.397920       19.004539    
 13     19.792040        2.202808       10.997424        8.469839       18.752123    
 14     19.554694        2.343114       10.948904        7.738536       18.402700    
 15     19.196205        2.466308       10.831256        7.198111       17.860338    
 16     19.944892        2.571165       11.258028        6.828616       17.226967    
 17     17.311911        2.646867        9.979389        6.772969       16.565695    
 18     17.641717        2.671718       10.156718        6.963095       16.039360    
 19     17.048431        2.676687        9.862559        6.999038       15.402493    
 20     16.269880        2.684033        9.476957        6.958172       14.802962    
 21     15.972462        2.684036        9.328249        6.946605       14.257210    
 22     15.290500        2.677547        8.984023        6.927227       13.704412    
 23     14.721298        2.674085        8.697692        6.842181       13.212024    
 24     14.212160        2.694639        8.453399        6.559647       12.742885    
 25     13.764106        2.713957        8.239032        6.302816       12.353275    
 26     13.425898        2.734022        8.079960        6.054349       12.095499    
 27     13.177867        2.744703        7.961285        5.880904       11.868590    
 28     12.931355        2.780027        7.855691        5.597155       11.654207    
 29     12.649405        2.840148        7.744776        5.227552       11.498945    
 30     12.593363        2.914336        7.753849        4.868337       11.372429    
 31     12.380334        2.971058        7.675696        4.611386       11.229141    
 32     12.225483        3.031411        7.628447        4.342669       11.092419    
 33     12.323971        3.171792        7.747881        3.792114       11.253192    
 34     12.114746        3.306572        7.710659        3.273613       10.924840    
 35     12.292293        3.388983        7.840638        3.270407       11.827315    
 36     12.449338        3.470632        7.959985        2.995378       10.831119    
 37     10.821810        3.560575        7.191192        2.948533       10.696785    
 38     11.158267        3.625637        7.391952        2.714378       10.749880    
 39     14.344967        3.798002        9.071484        2.488851       12.309311    
 40     12.304896        3.719539        8.012218        2.559055       11.305888    
 41     10.713618        3.562918        7.138268        3.867259       10.646022    
 42     11.056473        3.415053        7.235763        3.343205       10.648807    
 43     10.914842        3.708772        7.311807        2.492396       11.328026    
 44     13.066011        4.122703        8.594357        2.223382       11.157235    
 45     13.728076        4.261087        8.994581        2.291637       12.317839    
 46     12.427398        4.606410        8.516904        2.372912       12.802539    
 47     14.100927        4.753961        9.427444        2.405380       12.723172    
 48     12.767871        5.335556        9.051714       26.744442       12.218328    
 49     11.272268        3.984921        7.628594        2.197354       12.121507    
 50     12.313995        4.379765        8.346880        1.260154       11.093069    
 51     11.308627        4.588322        7.948475        1.154896       11.170310    
 52     12.470660        4.513659        8.492160        1.281277       11.005028    
 53     13.661589        4.670427        9.166008        1.205879       10.832272    
 54     12.104581        4.877716        8.491149        1.362119       13.235538    
 55     12.285290        4.232406        8.258848        2.834659       11.719012    
 56     15.710390        3.703449        9.706920        5.250007       12.403435    
 57     13.750876        3.553751        8.652313        6.583667       12.664784    
 58     13.236134        3.716593        8.476364        6.292114       12.679313    
 59     12.891173        3.824685        8.357929        5.076953       12.594703    
 60     13.726543        3.927005        8.826774        4.445126       13.010177    
 61     13.272894        3.829454        8.551174        5.658517       12.921056    
 62     13.889949        3.931123        8.910536        5.564643       13.111668    
 63     13.988991        4.054105        9.021548        5.180781       12.964802    
 64     13.857176        4.160649        9.008913        5.013723       12.695542    
 65     13.579565        4.073302        8.826433        5.032757       12.662745    
 66     13.586842        3.995566        8.791204        4.897132       12.556367    
 67     13.471236        3.953735        8.712485        5.716254       12.546785    
 68     13.539164        3.762940        8.651052        7.984056       12.640437    
 69     13.647134        3.532908        8.590021       10.564818       12.665251    
 70     13.382409        3.302367        8.342388        9.809905       12.538908    
 71     13.256730        3.196024        8.226377       10.865444       12.331992    
 72     12.606812        3.096403        7.851607        9.501985       12.091372    
 73     12.879840        3.010586        7.945213       13.930195       12.035296    
 74     12.319451        2.925287        7.622369       10.578058       11.868312    
 75     12.356418        2.960522        7.658470       10.887273       11.847861    
 76     12.019115        3.044012        7.531563       11.046065       11.667367    
 77     12.871550        3.121655        7.996602        9.855731       11.757373    
 78     13.383230        3.265286        8.324258        9.039090       11.627296    
 79     12.922716        3.353039        8.137877        9.297502       11.660032    
 80     11.710749        3.373707        7.542228        8.502879       11.363898    
 81     13.156538        3.790887        8.473713       24.431055       11.461517    
 82     12.185108        3.139992        7.662550        9.935217       11.316833    
 83     12.175267        3.258768        7.717018        8.498579       11.371975    
 84     12.424839        3.244279        7.834559        8.603462       11.466628    
 85     12.353472        3.223008        7.788240        8.801383       11.482873    
 86     12.484931        3.193748        7.839339        9.106930       11.636925    
 87     12.376150        3.252761        7.814455        9.735416       11.709701    
 88     11.460418        3.193913        7.327165       16.051166       11.512897    
 89     13.037253        3.125815        8.081534       15.259680       11.925648    
 90     13.161868        2.966489        8.064179       12.627491       11.874760    
 91     12.270592        2.878934        7.574763       14.809125       11.925474    
 92     13.115775        2.839525        7.977650       16.398397       12.061668    
 93     13.771303        2.980255        8.375779       16.266179       12.026261    
 94     12.903905        3.064739        7.984322       12.866238       11.973789    
 95     12.909147        3.220646        8.064897       12.033232       12.073022    
 96     12.820721        3.244956        8.032839       11.455051       12.128048    
 97     12.597909        3.315726        7.956818       10.634869       12.048451    
 98     12.715139        3.378421        8.046780       10.434624       11.986433    
 99     12.942608        3.412323        8.177465       10.355704       11.926833    
