Epoch  G MSE train        G BCE          G train          D BCE         G MSE test   
=====================================================================================
  0     296.679593       0.625833       296.679593      43.116783       31.205908    
  1     26.513377        0.666341       26.513377       43.563675       21.693768    
  2     21.015791        0.665021       21.015791       41.812048       19.864513    
  3     20.091450        0.653002       20.091450       37.399435       19.531309    
  4     20.022828        0.721653       20.022828       29.783371       19.551268    
  5     20.783803        0.898026       20.783803       22.240975       24.354733    
  6     20.417628        1.191955       20.417628       16.396215       19.399384    
  7     20.268172        1.546641       20.268172       12.680137       23.560642    
  8     20.265971        1.931013       20.265971        9.831122       20.040707    
  9     19.454560        2.252727       19.454560        8.283805       19.546125    
 10     21.527995        2.548204       21.527995        6.985019       18.783033    
 11     18.821421        2.896928       18.821421        5.696645       18.535553    
 12     18.445482        3.098048       18.445482        5.327697       17.874012    
 13     22.666977        3.298435       22.666977        4.825795       17.179398    
 14     20.472675        3.630276       20.472675        3.945320       16.469934    
 15     16.604638        3.682575       16.604638        4.434311       15.930889    
 16     16.325290        3.731689       16.325290        4.703008       17.399355    
 17     15.933571        3.706201       15.933571        4.861211       14.689958    
 18     17.023439        3.735449       17.023439        4.826364       20.439980    
 19     15.760979        3.742700       15.760979        4.493883       14.007273    
 20     14.825691        3.796377       14.825691        4.399942       20.647842    
 21     16.773210        3.888670       16.773210        3.825874       13.634562    
 22     15.155703        4.024647       15.155703        3.598655       19.298389    
 23     15.032604        4.103079       15.032604        3.283458       13.086898    
 24     14.993872        4.245465       14.993872        3.041197       22.871996    
 25     14.993527        4.338704       14.993527        2.765600       12.839749    
 26     13.022384        4.455877       13.022384        2.607532       13.031452    
 27     17.461690        4.550407       17.461690        2.315113       12.618201    
 28     12.580163        4.726873       12.580163        2.140572       12.097167    
 29     12.316237        4.836061       12.316237        2.014716       12.351912    
 30     17.067375        4.970356       17.067375        1.742508       11.618159    
 31     11.830827        5.164260       11.830827        1.676631       11.473285    
 32     11.786938        5.292175       11.786938        1.569184       11.743105    
 33     13.797075        5.422876       13.797075        1.465862       13.114362    
 34     14.696948        5.609745       14.696948        1.285500       11.266380    
 35     11.489577        5.856489       11.489577        1.184098       10.831699    
 36     11.321773        6.072690       11.321773        1.097122       12.516079    
 37     14.702318        6.324631       14.702318        0.873393       10.785486    
 38     10.945786        6.650477       10.945786        0.773593       10.330975    
 39     10.655506        6.862603       10.655506        0.693001       10.735356    
 40     14.670131        7.152113       14.670131        0.558456       10.248701    
 41     13.869451        7.276694       13.869451        0.532115       10.103661    
 42     10.302673        7.533340       10.302673        0.448790        9.909863    
 43     10.194891        7.608714       10.194891        0.389097        9.821346    
 44     10.180430        7.770208       10.180430        0.342635       10.062131    
 45     12.548851        7.882144       12.548851        9.688423       18.694677    
 46     12.829881        6.201812       12.829881       38.659745        9.991138    
 47      9.999383        5.202396        9.999383        1.793263        9.593307    
 48      9.884762        5.452453        9.884762        1.455778        9.523621    
 49     10.054085        5.598152       10.054085        1.233615       10.526229    
 50     12.799334        5.634687       12.799334        1.083965       10.282245    
 51     14.109908        5.871527       14.109908        0.892056        9.719795    
 52     10.966071        5.941792       10.966071        0.870438        9.498354    
 53      9.773423        6.100298        9.773423        0.830836        9.421332    
 54      9.703841        6.237627        9.703841        0.763602        9.357885    
 55      9.659694        6.363142        9.659694        0.710467        9.336664    
 56     14.641864        6.576068       14.641864        0.589327        9.567592    
 57     40.161464        6.143805       40.161464        0.653384       19.735426    
 58     12.231914        6.695615       12.231914        0.550296        9.453305    
 59      9.793409        6.854156        9.793409        0.518543        9.380583    
 60      9.731719        7.004127        9.731719        0.476240        9.324364    
 61      9.679226        7.157420        9.679226        0.437754        9.278017    
 62      9.632501        7.306720        9.632501        0.403660        9.241166    
 63      9.589835        7.437954        9.589835        0.374239        9.211197    
 64      9.550076        7.557007        9.550076        0.348686        9.183611    
