Epoch  G MSE train        G BCE          G train          D BCE         G MSE test   
=====================================================================================
  0     290.128719       0.728340       290.128719      37.197736       123.471863   
  1     45.940632        1.137333       45.940632       37.586361       31.610888    
  2     31.022642        0.766845       31.022642       40.081619       31.057808    
  3     31.070688        0.848791       31.070688       34.317970       33.629269    
  4     31.559756        1.074372       31.559756       26.186092       30.518000    
  5     30.405868        1.486022       30.405868       18.227169       32.416508    
  6     31.500746        1.844602       31.500746       12.744897       30.656364    
  7     30.327407        2.253354       30.327407        8.564740       31.847736    
  8     31.025339        2.612581       31.025339        5.908654       31.174175    
  9     30.475381        2.987055       30.475381        4.901039       31.279995    
 10     30.526957        3.317312       30.526957        3.139456       31.351852    
 11     30.485635        3.616429       30.485635        2.343685       31.249920    
 12     30.335128        3.913663       30.335128        1.819861       31.149645    
 13     30.181167        4.163280       30.181167        1.481655       31.036810    
 14     30.019853        4.379357       30.019853        1.258014       30.863464    
 15     29.837022        4.576950       29.837022        1.089146       30.673721    
 16     29.648458        4.747427       29.648458        0.968919       30.530731    
 17     29.501193        4.888724       29.501193        0.885513       30.442738    
 18     29.404314        5.009987       29.404314        0.827900       30.291931    
 19     29.272239        5.133482       29.272239        0.789948       30.226852    
 20     30.538121        5.264005       30.538121        0.749491       29.991632    
 21     29.193778        4.479882       29.193778       25.193139       28.797747    
 22     28.342925        4.006244       28.342925        1.946115       29.266361    
 23     28.592362        4.242814       28.592362        1.350547       29.715853    
 24     28.785876        4.430527       28.785876        1.074804       30.011543    
 25     28.925402        4.591664       28.925402        0.905221       29.954350    
 26     28.810229        4.737635       28.810229        0.786201       29.935104    
 27     28.848894        4.884910       28.848894        0.692518       30.306873    
 28     28.860521        4.994250       28.860521        0.641920       29.678528    
 29     28.543702        5.110380       28.543702        0.584494       29.804785    
 30     28.605391        5.197864       28.605391        0.549355       29.808315    
 31     28.625778        5.293805       28.625778        0.511734       29.688335    
 32     28.445443        5.381722       28.445443        0.478528       29.689249    
 33     28.495191        5.462435       28.495191        0.453014       29.626282    
 34     29.484497        5.492640       29.484497        0.461219       28.387373    
 35     27.693395        5.644691       27.693395        0.391620       29.117079    
 36     28.165145        5.699998       28.165145        0.378120       29.383484    
 37     28.223388        5.765937       28.223388        0.363057       29.397812    
 38     28.191180        5.831864       28.191180        0.346926       29.431746    
 39     28.193323        5.892810       28.193323        0.333132       29.396954    
 40     28.140138        5.954771       28.140138        0.319015       29.384230    
 41     28.137553        6.015602       28.137553        0.306150       29.345299    
 42     28.077656        6.077686       28.077656        0.293183       29.340721    
 43     28.075913        6.139052       28.075913        0.281673       29.279690    
 44     28.022000        6.199871       28.022000        0.269917       29.246956    
 45     27.998050        6.261036       27.998050        0.258530       29.139160    
 46     27.890477        6.320087       27.890477        0.247259       29.147011    
 47     27.922214        6.378733       27.922214        0.238072       29.111172    
 48     27.862528        6.438883       27.862528        0.227634       29.058189    
 49     27.835925        6.500343       27.835925        0.217970       29.014067    
 50     27.805012        6.560632       27.805012        0.208858       28.989183    
 51     27.777372        6.619013       27.777372        0.200547       28.925104    
 52     27.731188        6.676470       27.731188        0.192514       28.905203    
 53     27.722155        6.735824       27.722155        0.184811       28.865053    
 54     27.687268        6.790040       27.687268        0.177795       28.823881    
 55     27.653996        6.842792       27.653996        0.171361       28.781708    
 56     27.631820        6.899456       27.631820        0.164745       28.746422    
 57     27.603992        6.951644       27.603992        0.158706       28.726795    
 58     27.590955        7.006869       27.590955        0.152843       28.692764    
 59     27.561781        7.058348       27.561781        0.147547       28.668570    
 60     27.538736        7.111583       27.538736        0.141993       28.637741    
 61     27.502778        7.162109       27.502778        0.136862       28.606066    
 62     27.478585        7.212128       27.478585        0.131895       28.586800    
 63     27.463491        7.263747       27.463491        0.126957       28.561592    
 64     27.444710        7.315364       27.444710        0.122390       28.544014    
 65     27.417837        7.367850       27.417837        0.117884       28.505629    
 66     27.404160        7.417875       27.404160        0.113690       28.486721    
